,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
316,Prince Hamoud Street,Eastern_Province,"  , Asian, Pakistani, Middle Eastern", Asian,"Prince Hamoud Street, cross 5, Al Khobar Saudi Arabia",29, Marhaba Restaurant,3.5
317,Al-Doughaither Island,Eastern_Province,"  , Italian", Italian,"Al-Doughaither Island, Al Khobar Saudi Arabia",6, Casa sicili,4.0
318,Hafith Ibrahim Street Al Ulaya,Eastern_Province,  ,Restaurants,"Hafith Ibrahim Street Al Ulaya, Al Khobar 34447 Saudi Arabia",23, I Wish Grill & Cafe,3.5
319,Prince Metib Street,Eastern_Province,", Indian", Indian,"Prince Metib Street, Al Jubail Saudi Arabia",4, Puli Multicuisine Restaurant,4.0
320,King Faisal Road,Eastern_Province,  ,Restaurants,"King Faisal Road, As Sadafah, Dammam 33565 Saudi Arabia",15, Oh Yamal Restaurant,3.5
321,Al-Khubar Corniche,Eastern_Province,"Italian, American, Arabic", American,"Al-Khubar Corniche, Al Khobar 31952 Saudi Arabia",3, La Fonda,4.5
322,Dharan Street,Eastern_Province,"Italian, Caucasian", Caucasian,"Dharan Street, Al Ahsa 31982 Saudi Arabia",2, Yummy Day,5.0
323,King Khalid Road,Eastern_Province,", Pizza", Pizza,"King Khalid Road, Al Khobar Saudi Arabia",3, Pizza Hut Mazra'ah,4.5
324,Al Shati Road,Eastern_Province,Restaurants,Restaurants,"Al Shati Road, Al Jubail 4778 Saudi Arabia",4, Baba Shareef,4.0
325,Al Khobar Saudi Arabia,Eastern_Province,Italian,Italian,Al Khobar Saudi Arabia,15, Amici Italian Restaurant,3.5
326,Galleria Mall - First Floor,Eastern_Province,Restaurants,Restaurants,"Galleria Mall - First Floor, Al Jubail Saudi Arabia",8, Charleys Philly Steak,3.5
327,8125 Prince Bandar Street,Eastern_Province,"  , Cafe", Cafe,"8125 Prince Bandar Street, Al Khobar Saudi Arabia",5, Bake 'n' Take,4.0
328,Firas Ibn Al Nudur Street,Eastern_Province,  ,Restaurants,"Firas Ibn Al Nudur Street, Al Khobar Saudi Arabia",12, Eastern Gate,4.0
329,Hamza Bin Abdul Muttalib Street,Eastern_Province,"  , Bar, British, Diner", Bar,"Hamza Bin Abdul Muttalib Street, Tarout 32617 Saudi Arabia",8, Thaqafat,3.5
330,18th As Salam,Eastern_Province,"  , Indian, Chinese, Asian", Indian,"18th As Salam, Corniche road, Dammam 32416 Saudi Arabia",15, Royal Malabar Restaurant,3.5
331,Road 130 First Support Industries Area,Eastern_Province,Arabic,Arabic,"Road 130 First Support Industries Area, Al Jubail Saudi Arabia",2, Albarny,4.5
332,Kings Street,Eastern_Province,Pizza,Pizza,"Kings Street, Dhahran Saudi Arabia",2, Tandoori house,4.5
333,King Fahad Street,Eastern_Province,American,American,"King Fahad Street, Al Khobar Saudi Arabia",3, Grill Shack,4.5
334,Al Khamis Road,Eastern_Province,"  , Pizza, Fast Food", Pizza,"Al Khamis Road,, Al Jubail Saudi Arabia",8, Pizza Inn,3.5
335,Abdullah Ibn Al Abbas Street Doha Janubiyah,Eastern_Province,Pizza,Pizza,"Abdullah Ibn Al Abbas Street Doha Janubiyah, Al Khobar 34624 Saudi Arabia",3, Filfillah,4.5
336,Prince Mohammed Bin Fahad,Eastern_Province,"Lebanese, Mediterranean, Turkish, Grill", Mediterranean,"Prince Mohammed Bin Fahad, Dammam 32412 Saudi Arabia",3, Rawaa Restaurant,4.5
337,6231 King Saud Rd.,Eastern_Province,Restaurants,Restaurants,"6231 King Saud Rd., Al Khobar 34236 Saudi Arabia",3, Herfy,4.0
338,Hamza Bin Abdulmutalib Street,Eastern_Province,", Cafe", Cafe,"Hamza Bin Abdulmutalib Street, Tarout 32617 Saudi Arabia",3, C Coffee,4.5
339,Prince Faisal Bin Fahad Road,Eastern_Province,Restaurants,Restaurants,"Prince Faisal Bin Fahad Road, Al Khobar Saudi Arabia",9, Rural Caffe,3.5
340,Cornish Street,Eastern_Province,"  , Fast Food, Healthy", Fast Food,"Cornish Street, Al Khobar Saudi Arabia",15, Elevation Burger,3.5
341,Imam Ali Bin Abi Talib Streee,Eastern_Province,"Italian, Arabic", Arabic,"Imam Ali Bin Abi Talib Streee, Dammam Saudi Arabia",2, Jeleep,4.5
342,Prince Faisal Bin Fahd Road,Eastern_Province,Restaurants,Restaurants,"Prince Faisal Bin Fahd Road, Al Hizam Al Akhdar, Al Khobar 34433 Saudi Arabia",2, Lapate Bakery,4.5
343,Dammam Saudi Arabia,Eastern_Province,Indian,Restaurants,Dammam Saudi Arabia,4, Mas Restaurant,4.0
344,Riyadh Road Al Salmaniyah North,Eastern_Province,"  , Cafe", Cafe,"Riyadh Road Al Salmaniyah North, The Valley Mall First Floor, Al Hofuf, Al Ahsa 31982 Saudi Arabia",2, Dot Bakery & Cafe,4.5
345,Prince Fawaz Street Intersection 7,Eastern_Province,Restaurants,Restaurants,"Prince Fawaz Street Intersection 7, Al Khobar Saudi Arabia",3, Broasted Al Oroubah,4.5
346,Al Jubail Saudi Arabia,Eastern_Province,  ,Restaurants,Al Jubail Saudi Arabia,5, International House,4.0
347,Al Hofuf,Eastern_Province,"Filipino, Seafood, Spanish, Asian", Seafood,"Al Hofuf, Al Ahsa Saudi Arabia",2, Green Valley Filipino Restaurant,5.0
348,King Fahd Street,Eastern_Province,Indian,Indian,"King Fahd Street, Al Khobar Saudi Arabia",7, De delhi Al khobar,4.5
349,King khalid street,Eastern_Province,"Italian, Asian", Asian,"King khalid street, Al Ahsa Saudi Arabia",13, Oregano,3.5
350,Al Othaim Mall,Eastern_Province,Mexican,Mexican,"Al Othaim Mall, Al Ahsa Saudi Arabia",5, Tako Hut,4.0
351,Amwaj Mall,Eastern_Province,"  , American, International", American,"Amwaj Mall, Dhahran 34455 Saudi Arabia",8, AJ's Pancakes,3.5
352,King Khalid El Panda Rashed Mall,Eastern_Province,Chinese,Chinese,"King Khalid El Panda Rashed Mall, Dhahran Mall, Al Khobar Saudi Arabia",14, Canton,3.5
353,Zaid Ibn Alkhattab St,Eastern_Province,Restaurants,Restaurants,"Zaid Ibn Alkhattab St, Al Ulaya, Al Khobar 34447 Corner of Prince Faisal Bin Fahd Road, Al Khobar 34447 Saudi Arabia",4, SALT Al-Khobar,4.0
354,Dammam,Eastern_Province,"  , Pizza", Pizza,"Dammam, Ghirnatah - King Khaled Street, Dammam Saudi Arabia",6," Pizza Hut Ghirnatah,",4.0
355,Prince Mohammad Bin Fahad,Eastern_Province,"Fast Food, Mediterranean, Asian, Grill", Mediterranean,"Prince Mohammad Bin Fahad, Dhahran Saudi Arabia",2, Ousha,4.5
356,Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,Al Khobar Saudi Arabia,2, Al Quds Restaurant,5.0
357,4059 1st St,Eastern_Province,"Mediterranean, Egyptian", Egyptian,"4059 1st St, Al Khobar Saudi Arabia",5, layali Zaman,3.5
358,Al Khaleej Road,Eastern_Province,  ,Restaurants,"Al Khaleej Road,, Dammam Saudi Arabia",7, Al Safina Restaurant,4.5
359,Mall of Dhahran,Eastern_Province,"  , Italian, Pizza", Italian,"Mall of Dhahran, Gate Nr. 11, Al Khobar 31952 Saudi Arabia",13, Vapiano,3.5
360,Al Jubail Saudi Arabia,Eastern_Province,Restaurants,Restaurants,Al Jubail Saudi Arabia,2, Hashem Restaurant,4.5
361,Dammam Saudi Arabia,Eastern_Province,", Italian, British", Italian,Dammam Saudi Arabia,17, hardez,3.5
362,42 Zuhari Bin Abi Salami Street,Eastern_Province,"Fast Food, Barbecue, Diner, Middle Eastern", Barbecue,"42 Zuhari Bin Abi Salami Street, Dammam 32275 Saudi Arabia",2, Deak Alawal,5.0
363,King Fahad Street,Eastern_Province,  ,Restaurants,"King Fahad Street, Al Khobar Saudi Arabia",7, Oottupura,3.5
364,King Abdulaziz Road PO Box 1106 Dammam,Eastern_Province,"Chinese, Asian, Korean", Asian,"King Abdulaziz Road PO Box 1106 Dammam, Al Jubail 31431 Saudi Arabia",2, Jingogai Korean Restaurant,4.5
365,king Faisal West Beside Lulu Hyper Market,Eastern_Province,"  , Chinese, Indian, Barbecue", Chinese,"king Faisal West Beside Lulu Hyper Market, Al Jubail 31951 Saudi Arabia",4, Red Ginger,4.0
366,Ash Shulah,Eastern_Province,Restaurants,Restaurants,"Ash Shulah, Dhahran Saudi Arabia",3, Gulf Chef Restaurant,4.0
367,Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,Al Khobar Saudi Arabia,3, Al Hilal Restaurants,4.5
368,Fanateer Road 21961,Eastern_Province,"  , Chinese, Asian", Chinese,"Fanateer Road 21961, Al Jubail 392 Saudi Arabia",18, Red Dragon - Jubail,3.5
369,Venicia Mall,Eastern_Province,Restaurants,Restaurants,"Venicia Mall, Al Khobar Saudi Arabia",4, Azal Restaurant - Venicia Mall,4.0
370,Khobar,Eastern_Province,"  , Pizza", Pizza,"Khobar, Al Jisr, Al Khobar Saudi Arabia",4," Pizza Hut Al Jisr, Khobar",4.0
371,Prince Humud st,Eastern_Province,", Fast Food, Grill, Diner", Fast Food,"Prince Humud st, Al Khobar Saudi Arabia",5, & Salad,3.5
372,Corniche Road Khobar Corniche,Eastern_Province,"  , Indian, Halal", Indian,"Corniche Road Khobar Corniche, Al Khobar Corniche, Dammam Saudi Arabia",14, Moti Mahal,4.0
373,King Fahd Road Al Salmaniyah North,Eastern_Province,Restaurants,Restaurants,"King Fahd Road Al Salmaniyah North, Al Hofuf, Al Ahsa 36421 Saudi Arabia",5, Subway,3.5
374,Prince naif street,Eastern_Province,Indian,Indian,"Prince naif street, Al Khobar Saudi Arabia",3, Khansama,4.0
375,king Abdul Aziz St,Eastern_Province,"  , Asian, Pakistani, Middle Eastern", Asian,"king Abdul Aziz St, Al Khobar Saudi Arabia",26, New Khan Resturant,3.5
376,Prince Mansour Str Opposite to Hssain Al Qahtani store,Eastern_Province,Middle Eastern,Middle,"Prince Mansour Str Opposite to Hssain Al Qahtani store, close to Damman Shopping Centre, Dammam Saudi Arabia",5, Basmah Adama Patisserie and Grill,3.5
377,6546 Mazroyah,Eastern_Province,Restaurants,Restaurants,"6546 Mazroyah, Al Hofuf, Al Ahsa 36361 Saudi Arabia",2, Safar Restaurant,4.5
378,Prince Humud Street,Eastern_Province,Restaurants,Restaurants,"Prince Humud Street, Al Khobar Saudi Arabia",3, Restaurant Afandina Saraya,4.0
380,Prince Faisal bin Fahd street,Eastern_Province,Italian,Italian,"Prince Faisal bin Fahd street, Dhahran Saudi Arabia",5, Olivio,4.0
381,Doha in front of main STC bldg,Eastern_Province,Seafood,Seafood,"Doha in front of main STC bldg, Dhahran Saudi Arabia",3, Medar,4.0
382,9233 King Faisal West,Eastern_Province,"Italian, Seafood, Barbecue", Seafood,"9233 King Faisal West, Al Jubail 35518 Saudi Arabia",1, Corridors Restaurant,5.0
383,King Salman Bin Abdulaziz Rd next to HH Tower,Eastern_Province,"  , American, Seafood, Asian", American,"King Salman Bin Abdulaziz Rd next to HH Tower, Al Khobar 34424 Saudi Arabia",1, Shrimp Rush,5.0
384,Pepsi Street Awan Gallery,Eastern_Province,"American, Fast Food, Arabic", Fast Food,"Pepsi Street Awan Gallery, Al Khobar Saudi Arabia",1, iabsa,5.0
385,Prince Mohamed Bin Fahd Road Al Qusur,Eastern_Province,Restaurants,Restaurants,"Prince Mohamed Bin Fahd Road Al Qusur, Dhahran 31261 Saudi Arabia",5, BurgerFuel Al Doha,3.5
386,Prince Humud Street,Eastern_Province,  ,Restaurants,"Prince Humud Street,, Al Khobar 34432 Saudi Arabia",8, O Burger,3.5
387,Prince Mohammad Bin Fahed Street,Eastern_Province,Restaurants,Restaurants,"Prince Mohammad Bin Fahed Street, Al Khafji 31971 Saudi Arabia",3, Al Rabie Bakeries,4.0
388,King Abdulaziz Road,Eastern_Province,Arabic,Arabic,"King Abdulaziz Road, Hafar Al-Batin Saudi Arabia",1, Habak & Rayhan,5.0
389,Corniche Road,Eastern_Province,", French, Bar, Seafood", French,"Corniche Road,, Al Khobar Saudi Arabia",1, Cafe Chic,5.0
390,2540 8883 King Saud Rd,Eastern_Province,"Lebanese, Mediterranean, Eastern European, Armenian", Mediterranean,"2540 8883 King Saud Rd, Al Khobar 34437 Saudi Arabia",1, Arev,5.0
391,Abdullah Ibn Hizam St Farm 10,Eastern_Province,", Cafe, Middle Eastern, Hawaiian", Cafe,"Abdullah Ibn Hizam St Farm 10, Al Hizam Al Thahabi, Al Khobar 34432 Saudi Arabia",2, MixFruity,4.5
392,8532-36361-5147,Eastern_Province,"Lebanese, Mediterranean", Mediterranean,"8532-36361-5147, Al Ahsa Saudi Arabia",5, Beirut Restaurants,3.5
393,Al-Hamra ,Eastern_Province,", Italian, French, American", Italian,"Al-Hamra , Dammam Cornish, Dammam 32421 Saudi Arabia",2, Paradise Cafe,5.0
394,Al-Wajeha Rd Inside Karan Hotel,Eastern_Province,"  , Italian, Pizza", Italian,"Al-Wajeha Rd Inside Karan Hotel, Al Jubail Saudi Arabia",11, Al-Barni,3.5
395,King Abdulaziz Street,Eastern_Province,"  , Barbecue, Turkish, Grill", Barbecue,"King Abdulaziz Street, Al Khafji Saudi Arabia",3, The Pearl Restaurant,3.5
396,Ain Najm Road,Eastern_Province,Cafe,Cafe,"Ain Najm Road, Al Mubarraz, Al Ahsa 36422 Saudi Arabia",2, Espresso Lab,4.0
397,Khobar Corniche,Eastern_Province,"Barbecue, Grill, Arabic", Grill,"Khobar Corniche, Al Khobar Saudi Arabia",3, Blue Garden,3.5
398,Fatema Al Zahra Street,Eastern_Province,"  , Pizza", Pizza,"Fatema Al Zahra Street, Dammam Saudi Arabia",7, Pizza Hut Iskan Dammam,3.5
400,Hay King Saoud King Abd El Aziz Road,Eastern_Province,"Fast Food, Barbecue", Barbecue,"Hay King Saoud King Abd El Aziz Road, Al Jubail Saudi Arabia",4, Ayam Chamiya Restaurant,3.5
401,King Salman Bin Abdulaziz Road Al Bandariyah,Eastern_Province,"Italian, Chinese, International, Fusion", Chinese,"King Salman Bin Abdulaziz Road Al Bandariyah, Al Khobar 31432 Saudi Arabia",1, The Pantry,5.0
402,Prince Naif Road,Eastern_Province,Restaurants,Restaurants,"Prince Naif Road, Al Khafji 39254 Saudi Arabia",2, Zuwara Kuwaiti Restaurant,4.0
403,Olaya District - Mecca Street Opposite SABB Bank,Eastern_Province,"Fast Food, Diner, Middle Eastern, Arabic", Diner,"Olaya District - Mecca Street Opposite SABB Bank, Al Khobar 34446 Saudi Arabia",1, Saaf Restaurant,5.0
404,Al Khaleej Road,Eastern_Province,"  , Italian, French, Moroccan", Italian,"Al Khaleej Road, Al Qatif 31911 Saudi Arabia",1, Moulin Rouge Cafe,5.0
405,Ibn Hassan St,Eastern_Province,"Mexican, American, Arabic", American,"Ibn Hassan St, Al Awamiyah Saudi Arabia",1, Cheesy Bite,5.0
406,Al Khobar 34437 Saudi Arabia,Eastern_Province,Restaurants,Restaurants,Al Khobar 34437 Saudi Arabia,1, Coffee Map,5.0
407,Prince Faisal Bin Fahd Road,Eastern_Province,  ,Restaurants,"Prince Faisal Bin Fahd Road, Al Khobar Saudi Arabia",12, Mizo Eatery,4.0
408,Ibn Bassam Al Andalusi Street InterContinental Al Khobar,Eastern_Province,Fusion,Fusion,"Ibn Bassam Al Andalusi Street InterContinental Al Khobar, Al Khobar 31952 Saudi Arabia",1, Shisha Lounge,5.0
409,Prince Musaid Street,Eastern_Province,", Japanese, American, European", Japanese,"Prince Musaid Street, Al Khobar 34425 Saudi Arabia",1, Century Cuisine,5.0
410,Mall of Dhahran,Eastern_Province,"Turkish, Eastern European, Armenian, Arabic", Eastern European,"Mall of Dhahran, Dhahran Saudi Arabia",2, Bayaz,4.0
411,Othman Ibn Affan Street,Eastern_Province,"  , Pizza", Pizza,"Othman Ibn Affan Street, Dammam Saudi Arabia",5, Pizza Hut An Nuzhah,3.5
412,Prince Turkey St Near Lulu Hyper - Al-Khobar,Eastern_Province,"Fast Food, Street Food", Street Food,"Prince Turkey St Near Lulu Hyper - Al-Khobar, Al Khobar Saudi Arabia",2, Chick time Broasted,4.5
413,Ar Rayan Rd,Eastern_Province,Indian,Indian,"Ar Rayan Rd, Al Rawaf Planning, Al Khobar 52379 Saudi Arabia",2, Tekkady Restaurent,4.5
414,King Fahd Road,Eastern_Province,"  , Indian", Indian,"King Fahd Road, Al Hizam Al Thahabi, Dhahran Saudi Arabia",9, Indian Kitchen Express,4.5
415,8549 Dahran Road,Eastern_Province,"Asian, Indonesian", Indonesian,"8549 Dahran Road, Al Mubarraz, Al Ahsa Saudi Arabia",1, La Vallee,5.0
416,Al Khalil Road,Eastern_Province,"Lebanese, Fast Food, Mediterranean, Deli", Fast Food,"Al Khalil Road, Al Jubail Saudi Arabia",2, Hems Gardens Restaurant,4.0
417,Prince Turkey Street,Eastern_Province,Indian,Indian,"Prince Turkey Street, Al Khobar Saudi Arabia",2, Sravana,4.0
418,King Abdul Aziz Road.,Eastern_Province,Barbecue,Barbecue,"King Abdul Aziz Road., Al Jubail Saudi Arabia",1, Restaurant Sahari Al Sham Jubail,5.0
419,Zin El Abidin Street,Eastern_Province,Fusion,Fusion,"Zin El Abidin Street, Al Qatif Saudi Arabia",1, Cheesy Bites Restaurant,5.0
420,King Abdul Aziz Road,Eastern_Province,"  , Arabic", Arabic,"King Abdul Aziz Road, Al Khobar Saudi Arabia",9, Shahrazade Restaurant,3.5
421,Al Aziziyah,Eastern_Province,", Cafe", Cafe,"Al Aziziyah, Dammam Saudi Arabia",1, Soil Coffee Roasters,5.0
422,Al Jabal Street,Eastern_Province,  ,Restaurants,"Al Jabal Street, Al Jubail Saudi Arabia",7, Rahat Restaurant,3.5
423,16 Emir Hamoud Street,Eastern_Province,Restaurants,Restaurants,"16 Emir Hamoud Street, Al Khobar Saudi Arabia",3, Al Sawany Alshabiya,4.0
424,Ash-Shati,Eastern_Province,Restaurants,Restaurants,"Ash-Shati, Al Qatif 32617 Saudi Arabia",1, Old Chicago,5.0
425,Dahran Mall,Eastern_Province,Chinese,Chinese,"Dahran Mall, Dhahran Saudi Arabia",1, Green Dragon Restaurant,5.0
426,Riyadh road,Eastern_Province,Cafe,Cafe,"Riyadh road, Al Ahsa Saudi Arabia",2, Dewanyat almoltaqa,4.5
427,Prince Mashhoor Street and Prince Metib Street Opposite to Hyper Panda,Eastern_Province,Restaurants,Restaurants,"Prince Mashhoor Street and Prince Metib Street Opposite to Hyper Panda, Al Jubail Saudi Arabia",2, Puli Restaurant,4.0
428,Pepsi St,Eastern_Province,Mexican,Mexican,"Pepsi St, Al Khobar Saudi Arabia",8, Pimento Mexican Grill,3.5
429,Dammam Road Alyamamah shopping Center,Eastern_Province,Restaurants,Restaurants,"Dammam Road Alyamamah shopping Center, Al Khobar Saudi Arabia",2, F&B Burger,4.0
430,Al Quds Street Majidyah,Eastern_Province,"  , Seafood, Sushi, Italian", Seafood,"Al Quds Street Majidyah, opposite to Kia Motors, Dammam 31911 Saudi Arabia",13, Aish O Samach,4.0
431,Khobar Olaya Near Al Rashed Mall,Eastern_Province,"  , Indian", Indian,"Khobar Olaya Near Al Rashed Mall, Al Khobar Saudi Arabia",2, Dalchini Restaurant,4.0
432,Prince Humud St,Eastern_Province,Diner,Diner,"Prince Humud St, Al Khobar 34432 Saudi Arabia",2, Flamingo Restaurant,4.0
433,Abu Bakr Alsiddiq S,Eastern_Province,Restaurants,Restaurants,"Abu Bakr Alsiddiq S, Dammam Saudi Arabia",1, Raydan Restaurant,5.0
434,prince Mansoor str,Eastern_Province,"Indian, Middle Eastern, Pakistani, Afghani", Middle Eastern,"prince Mansoor str, cross 4, Al Khobar 31952 Saudi Arabia",4, Tabaq Restaurant,3.5
435,Mall of Dhahran Blvd Mall of Arabia,Eastern_Province,Restaurants,Restaurants,"Mall of Dhahran Blvd Mall of Arabia, Gate 10, Dhahran 34464 Saudi Arabia",6, Nando's,3.5
436,Al Khaleej Road,Eastern_Province,Restaurants,Restaurants,"Al Khaleej Road, Al Hofuf, Al Ahsa 36362 Saudi Arabia",5, Pizza Il Mio,4.5
437,4th Street,Eastern_Province,", Indian, Asian, Middle Eastern", Indian,"4th Street,, Al Khobar 31952 Saudi Arabia",1, Masala House Restaurant,5.0
438,Khalid Bin Waleed Street,Eastern_Province,"Middle Eastern, Pakistani", Pakistani,"Khalid Bin Waleed Street, Al Khobar Saudi Arabia",2, Spice city restaurant,4.0
439,Al Khobar Saudi Arabia,Eastern_Province,Restaurants,Restaurants,Al Khobar Saudi Arabia,1, Peshawari Kabab House,5.0
440,Prince Mohammed Bin Fahad Road Shop #5,Eastern_Province,", American, Cafe", American,"Prince Mohammed Bin Fahad Road Shop #5, Dhahran Saudi Arabia",1, Smallcakes Cupcakery & Creamery,5.0
441,Al-Rushaid Village Al-Rushaid Village 1,Eastern_Province,Restaurants,Restaurants,"Al-Rushaid Village Al-Rushaid Village 1, Al Khobar 31952 Saudi Arabia",1, Cafe Libros,5.0
442,King Saud Road,Eastern_Province,"  , French, Cafe", French,"King Saud Road, Al Khobar 31952 Saudi Arabia",2, Boulangerie Bakery,4.0
443,Prince Turki Street,Eastern_Province,"Middle Eastern, Arabic", Arabic,"Prince Turki Street, 7th Street, Al Khobar Saudi Arabia",2, Naia Lounge,4.0
444,King Faisal Road,Eastern_Province,"  , Pizza", Pizza,"King Faisal Road, Dammam Saudi Arabia",5, Pizza Hut Muzruiyah,3.5
445,Al Mustafa Street,Eastern_Province,"  , Indian", Indian,"Al Mustafa Street, Dammam Saudi Arabia",5, Red Table Restaurant,3.5
446,Dhahran 34457 Saudi Arabia,Eastern_Province,Fast Food,Fast,Dhahran 34457 Saudi Arabia,4, Popeyes,3.5
447,Al Khobar Saudi Arabia,Eastern_Province,International,International,Al Khobar Saudi Arabia,8, Lascala Urban Eatery,3.5
448,King Khalid St,Eastern_Province,"  , Indian, Chinese, Asian", Indian,"King Khalid St, Cross # 19, Al Khobar 31952 Saudi Arabia",22, De Maharajaa's Restuarant,3.5
449,8350 Prince Sultan bin Abdulaziz Al Talal,Eastern_Province,Indian,Indian,"8350 Prince Sultan bin Abdulaziz Al Talal, Hafar Al-Batin 8350 Saudi Arabia",1, Freej,4.0
450,Kempinski Al Othman Hote,Eastern_Province,"  , Lebanese, Mediterranean", Lebanese,"Kempinski Al Othman Hote, King Saud Rd Kempinski Hotel, Al Khobar 31952 Saudi Arabia",1, Enab Beirut Al Khobar,4.0
451,5396 Al Shati Al Sharqi,Eastern_Province,"Mediterranean, Turkish, Arabic", Turkish,"5396 Al Shati Al Sharqi, Dammam 32413-8130 Saudi Arabia",1, Osmanali,4.0
452,Ash Shihab at Taifi Street,Eastern_Province,"  , Cafe", Cafe,"Ash Shihab at Taifi Street, Al Khobar Saudi Arabia",2, Chuao,4.0
453,10th Street Al Aqrabiyah,Eastern_Province,Restaurants,Restaurants,"10th Street Al Aqrabiyah, Al Khobar 34446 Saudi Arabia",1, Mishwar Restaurant,4.0
454,King Khaled Street,Eastern_Province,"  , Indian, Grill", Indian,"King Khaled Street, Dammam Saudi Arabia",11, China Garden,4.0
455,1 Street,Eastern_Province,", Cafe", Cafe,"1 Street, Al Bandariyah, Al Khobar, Al Khobar 31421 Saudi Arabia",1, Lark,4.0
456,3783 Prince Faisal Bin Fahd Road,Eastern_Province,Middle Eastern,Middle,"3783 Prince Faisal Bin Fahd Road, Al Khobar Saudi Arabia",12, Big Chief,3.5
457,Al Khaleej Road Ash Shati Al Gharbi,Eastern_Province,"Lebanese, Cafe, Mediterranean, Diner", Cafe,"Al Khaleej Road Ash Shati Al Gharbi, Dammam Saudi Arabia",1, Hakaya Al Harah,4.0
458,King Faisal St,Eastern_Province,Restaurants,Restaurants,"King Faisal St, Al Khobar Al Shamalia, Al Khobar 34429 Saudi Arabia",1, Mr Burger,4.0
459,4807 Al Khalij Rd,Eastern_Province,"Lebanese, Mediterranean, Central Asian", Mediterranean,"4807 Al Khalij Rd, Al Hofuf, Al Ahsa 36362 Saudi Arabia",1, Beit Misk Restaurant,4.0
460,Omar Ibn El-Khattab Street,Eastern_Province,", Arabic, American, Fast Food", Arabic,"Omar Ibn El-Khattab Street, Dammam 34261 Saudi Arabia",1, BRIO Sandwiches,4.0
461,King Abdullah Road,Eastern_Province,", Cafe", Cafe,"King Abdullah Road, Al Hofuf, Al Ahsa 36365 Saudi Arabia",1,  Sixty Five Degrees,4.0
462,alkhobar city,Eastern_Province,", American", American,"alkhobar city, Saudi Arabia, Al Khobar 31952 Saudi Arabia",1, Burgers and fries,4.0
463,Jeddah Street,Eastern_Province,Restaurants,Restaurants,"Jeddah Street, Near City Center, Al Jubail 31951 Saudi Arabia",4, Rames Restaurant,3.5
464,Mall Of Dharhan,Eastern_Province,Cafe,Cafe,"Mall Of Dharhan, Dhahran Saudi Arabia",1, Molten Chocolate,4.0
465,Prince Naif Rd Al jawhara,Eastern_Province,"  , Lebanese, Mediterranean, Arabic", Lebanese,"Prince Naif Rd Al jawhara, Al Khafji 39254 Saudi Arabia",1, Lebanese Story,4.0
466,Amwaj Mall,Eastern_Province,Restaurants,Restaurants,"Amwaj Mall, Dhahran 31952 Saudi Arabia",5, My Little Cake Shop,3.5
467,Prince Sultan Ibin Abdulaziz Road,Eastern_Province,American,American,"Prince Sultan Ibin Abdulaziz Road, Hafar Al-Batin Saudi Arabia",1, BurgeryNow,4.0
468,Prince Fawaz Street 18TH Cross Street,Eastern_Province,"  , Indian", Indian,"Prince Fawaz Street 18TH Cross Street, Al Khobar Saudi Arabia",6, Grill Garden Group,3.5
469,South Corniche,Eastern_Province,"Chinese, Indian, Arabic", Indian,"South Corniche, Al Khobar Saudi Arabia",2, Alkhobar,3.5
470,Al Mahal Center,Eastern_Province,"  , Mediterranean", Mediterranean,"Al Mahal Center, Mohammed Ben Fahed Street, Eastern Province Branch, Dammam Near Lulu Hypermarket, Dammam, Dammam Saudi Arabia",1, Dar Nasser,4.0
471,Doha Al Janubiyah,Eastern_Province,Restaurants,Restaurants,"Doha Al Janubiyah, Dhahran 34455 Saudi Arabia",1, Ocean basket,4.0
472,Prince Nayef bin Abdulaziz,Eastern_Province,"Middle Eastern, Arabic", Arabic,"Prince Nayef bin Abdulaziz, Dammam Saudi Arabia",3, Muqalat Al Freej,3.5
473,Duha Janubiyah - Abduallah Ibn Abbas St.,Eastern_Province,Middle Eastern,Middle,"Duha Janubiyah - Abduallah Ibn Abbas St., Dhahran 31311 Saudi Arabia",2, Sajmania Restaurant,3.5
474,King Abdullah Road,Eastern_Province,"Lebanese, Mediterranean, Turkish, Arabic", Mediterranean,"King Abdullah Road, Al Hofuf, Al Ahsa Saudi Arabia",1, Premium Grill,4.0
475,Al Ashriah St,Eastern_Province,"Indian, Arabic", Arabic,"Al Ashriah St, Dammam 32414 Saudi Arabia",3, View Cafe,3.5
476,Prince Met'eb Street,Eastern_Province,"  , Seafood", Seafood,"Prince Met'eb Street, Al Jubail Saudi Arabia",9, Al Ash'hal,3.0
477,Prince bin AbdulAziz Rd,Eastern_Province,  ,Restaurants,"Prince bin AbdulAziz Rd,, Dammam Saudi Arabia",2, Saf Saf,3.5
478,Tareeq 101 Al Sanaiyah,Eastern_Province,  ,Restaurants,"Tareeq 101 Al Sanaiyah, Al Jubail 31961 Saudi Arabia",1, La Laguna Pavillon,5.0
479,Ibn Batuta Street,Eastern_Province,Restaurants,Restaurants,"Ibn Batuta Street, Al Khobar 34257 Saudi Arabia",1, Pizzarella,4.0
480,Rashid Mall,Eastern_Province,Restaurants,Restaurants,"Rashid Mall, Al Khobar Saudi Arabia",2, Il Forno,3.5
481,Prince Turkey Street,Eastern_Province,American,American,"Prince Turkey Street, Al Khobar 34422 Saudi Arabia",1, Bakers boutique,4.0
