,address_line1,city,food_type,food_type1,location,number_of_reviews,restaurant_name,review_score
145,Prince faisal bin fahad road Pepsi Road,Eastern_Province,", Lebanese, Middle Eastern, Mediterranean", Lebanese,"Prince faisal bin fahad road Pepsi Road, Al Khobar Saudi Arabia",53, Maxim,3.5
146,Abu Bakr Ibn Othman St,Eastern_Province,"  , Indian, Asian, Middle Eastern", Indian,"Abu Bakr Ibn Othman St, Al Athir, Dammam 32248, Dammam 32248 Saudi Arabia",10, Masala House,4.5
147,Prince Turki Street 7th Street,Eastern_Province,", Seafood", Seafood,"Prince Turki Street 7th Street, Al Khobar Saudi Arabia",28, Al-Dhow,4.0
148,King Abdulaziz Stret,Eastern_Province,  ,Restaurants,"King Abdulaziz Stret, Al Khobar 344414093 Saudi Arabia",15, Kababchini Restaurant,4.5
149,Prince Mohammed Bin Fahd Branch Rd Al Qusur,Eastern_Province,"  , Middle Eastern, Lebanese, Cafe", Middle Eastern,"Prince Mohammed Bin Fahd Branch Rd Al Qusur, Dhahran Saudi Arabia",16, Aliwan Alshami Restaurant & Cafe,4.0
150,Prince Nayef Street,Eastern_Province,"  , Chinese, Asian, Korean", Chinese,"Prince Nayef Street, Al Khobar 34429 Saudi Arabia",9, Jingogai,4.5
151,No 10 Althuqbah Aqrabiyah,Eastern_Province,"  , Middle Eastern, Halal", Middle Eastern,"No 10 Althuqbah Aqrabiyah, Al Khobar Saudi Arabia",28, Malik Mandi,4.0
152,Riyadh Road,Eastern_Province,"  , Steakhouse", Steakhouse,"Riyadh Road,, Al Hofuf, Al Ahsa Saudi Arabia",7, Tenderloin,4.5
153,Behind Sabic HQ,Eastern_Province,"  , Seafood", Seafood,"Behind Sabic HQ, Al Jubail 31951 Saudi Arabia",41, Golden Fish Restaurant,4.0
154,Al Ahsa 36423 Saudi Arabia,Eastern_Province,", Italian", Italian,Al Ahsa 36423 Saudi Arabia,10, La Casa Pasta,4.5
155,Al Khobar Corniche,Eastern_Province,"  , American, Cafe", American,"Al Khobar Corniche, Al Khobar Saudi Arabia",69, Starbucks,3.5
156,Cornish,Eastern_Province,", Barbecue, Halal", Barbecue,"Cornish, Dhahran 31952 Saudi Arabia",24, Brasa,4.0
157,5022 Prince Faisal Bin Fahd Road,Eastern_Province,", Italian, American, European", Italian,"5022 Prince Faisal Bin Fahd Road,, Al Khobar 34433 Saudi Arabia",8, EspressoLab,4.5
158,AlTurki Business Park,Eastern_Province,"  , French, European, Cafe", French,"AlTurki Business Park, Al Khobar Saudi Arabia",15, Tower Kitchen by Pattis France,4.5
159,Alshihab Altaifi St.,Eastern_Province,"  , International, Italian, Cafe", International,"Alshihab Altaifi St., Al Khobar 31952 Saudi Arabia",18, Tuxedo Restaurant & Cafe,4.0
160,10th St.,Eastern_Province,  ,Restaurants,"10th St., Al Khobar Saudi Arabia",12, Khobar,4.5
161,Al Ashriah Street,Eastern_Province,", Turkish", Turkish,"Al Ashriah Street,, Dammam 32414 Saudi Arabia",14, Kunefeci,4.0
162,Dhahran Mall,Eastern_Province,  ,Restaurants,"Dhahran Mall, Dhahran 34457 Saudi Arabia",26, Chillis Dhahran Mall,4.0
163,7th Street,Eastern_Province,Restaurants,Restaurants,"7th Street, Al Khobar 31952 Saudi Arabia",9, Petitparis,4.5
164,Al Corniche,Eastern_Province,"  , Lebanese, Mediterranean, Middle Eastern", Lebanese,"Al Corniche, Al Jubail Saudi Arabia",25, Dar Al Karam,3.5
165,Khobar Prince Turkey Street,Eastern_Province,"  , Lebanese, Middle Eastern, Mediterranean", Lebanese,"Khobar Prince Turkey Street, After Tamimi, Al Khobar Saudi Arabia",16, Alshahrour Restaurant,4.0
166,King Abdulaziz Road,Eastern_Province,"  , Filipino, Asian", Filipino,"King Abdulaziz Road, Al Jubail 31961 Saudi Arabia",10, Pansitan,4.0
167,Corniche Next to Brasa de Brazil,Eastern_Province,", Indian, Middle Eastern", Indian,"Corniche Next to Brasa de Brazil, Al Khobar Saudi Arabia",19, Laguna Eastern,3.5
168,Al Qashla Street DoubleTree by Hilton,Eastern_Province,"  , International", International,"Al Qashla Street DoubleTree by Hilton, Dhahran 31952 Saudi Arabia",9, Al Waha,4.5
169,Ibn Batuta Street,Eastern_Province,"  , Fast Food, Mediterranean, Barbecue", Fast Food,"Ibn Batuta Street,, Dhahran Saudi Arabia",9, AlMumtaz Restaurant,4.0
170,Prince Talal Bin Abdulaziz St,Eastern_Province,"  , American", American,"Prince Talal Bin Abdulaziz St, Al Hofuf, Al Ahsa Saudi Arabia",12, Bun&Patty,4.5
171,Zaid Ibn AlKhattab Street,Eastern_Province,"  , Cafe, Vegetarian Friendly, Vegan Options", Cafe,"Zaid Ibn AlKhattab Street, Al Khobar 34447 Saudi Arabia",26, Scramble,4.0
172,King Saud Branch Rd,Eastern_Province,", Fast Food", Fast Food,"King Saud Branch Rd, Al Hada, Al Khobar 34439 Saudi Arabia",8, Burger Nook,4.5
173,8277 Uthman Ibn Affan Al Nuzhah,Eastern_Province,"  , Seafood, Soups", Seafood,"8277 Uthman Ibn Affan Al Nuzhah, Dammam 322522142 Saudi Arabia",27, Darin Seafood,3.5
174,6186 Prince Sultan Road Ar Rakah Al Janubiyah 3326,Eastern_Province,"American, Contemporary", Contemporary,"6186 Prince Sultan Road Ar Rakah Al Janubiyah 3326, Al Khobar 34227 6186 Saudi Arabia",6, DiCE,4.5
175,downtown Al-Khobar near Galleria Mall,Eastern_Province,", Asian, Thai", Asian,"downtown Al-Khobar near Galleria Mall, Al Khobar Saudi Arabia",13, Thai House,4.0
176,Prince Sultan Road,Eastern_Province,Cafe,Coffee,"Prince Sultan Road, Al Khobar 34227 Saudi Arabia",18, Dose Cafe,4.0
177,Prince Faisal Bin Fahd Road,Eastern_Province,  ,Restaurants,"Prince Faisal Bin Fahd Road, Al Khobar 34436 Saudi Arabia",7, Al Aker Sweets,5.0
178,King Saud Road Alqashlah,Eastern_Province,"  , Mediterranean, Spanish, Contemporary", Mediterranean,"King Saud Road Alqashlah, Al Khobar 31952 Saudi Arabia",10, Aceite,4.5
179,Anas Ibn Malik Street,Eastern_Province,"  , Mediterranean, Middle Eastern, Vegetarian Friendly", Mediterranean,"Anas Ibn Malik Street, Dhahran 34452 Saudi Arabia",23, Moonlight Restaurant,3.5
180,Prince Turki Bin Abdulaziz Street,Eastern_Province,", Italian, European", Italian,"Prince Turki Bin Abdulaziz Street, Al Khobar 34412 Saudi Arabia",9, Eat'sy,4.0
